    0.000000e+00    1.000000e+00	    0.000000e+00	
    2.000000e-03    9.999960e-01	    3.999989e-06	
    4.000000e-03    9.999840e-01	    1.599982e-05	
    6.000000e-03    9.999640e-01	    3.599911e-05	
    8.000000e-03    9.999360e-01	    6.399719e-05	
    1.000000e-02    9.999000e-01	    9.999315e-05	
    1.200000e-02    9.998560e-01	    1.439858e-04	
    1.400000e-02    9.998040e-01	    1.959737e-04	
    1.600000e-02    9.997440e-01	    2.559551e-04	
    1.800000e-02    9.996761e-01	    3.239281e-04	
    2.000000e-02    9.996001e-01	    3.998904e-04	
    2.200000e-02    9.995162e-01	    4.838396e-04	
    2.400000e-02    9.994242e-01	    5.757728e-04	
    2.600000e-02    9.993243e-01	    6.756871e-04	
    2.800000e-02    9.992164e-01	    7.835791e-04	
    3.000000e-02    9.991006e-01	    8.994454e-04	
    3.200000e-02    9.989767e-01	    1.023282e-03	
    3.400000e-02    9.988449e-01	    1.155085e-03	
    3.600000e-02    9.987051e-01	    1.294850e-03	
    3.800000e-02    9.985574e-01	    1.442573e-03	
    4.000000e-02    9.984018e-01	    1.598248e-03	
    4.200000e-02    9.982381e-01	    1.761870e-03	
    4.400000e-02    9.980666e-01	    1.933435e-03	
    4.600000e-02    9.978871e-01	    2.112935e-03	
    4.800000e-02    9.976996e-01	    2.300367e-03	
    5.000000e-02    9.975043e-01	    2.495723e-03	
    5.200000e-02    9.973010e-01	    2.698997e-03	
    5.400000e-02    9.970898e-01	    2.910182e-03	
    5.600000e-02    9.968707e-01	    3.129271e-03	
    5.800000e-02    9.966437e-01	    3.356258e-03	
    6.000000e-02    9.964089e-01	    3.591134e-03	
    6.200000e-02    9.961661e-01	    3.833892e-03	
    6.400000e-02    9.959155e-01	    4.084525e-03	
    6.600000e-02    9.956570e-01	    4.343022e-03	
    6.800000e-02    9.953906e-01	    4.609378e-03	
    7.000000e-02    9.951164e-01	    4.883582e-03	
    7.200000e-02    9.948344e-01	    5.165625e-03	
    7.400000e-02    9.945445e-01	    5.455498e-03	
    7.600000e-02    9.942468e-01	    5.753193e-03	
