    0.000000e+00
    1.000000e+00	    0.000000e+00	    5.000000e-04
    9.999998e-01	    2.499864e-07	    1.000000e-03
    9.999990e-01	    9.997825e-07	    1.500000e-03
    9.999978e-01	    2.248899e-06	    2.000000e-03
    9.999960e-01	    3.996521e-06	    2.500000e-03
    9.999938e-01	    6.241509e-06	    3.000000e-03
    9.999910e-01	    8.982398e-06	    3.500000e-03
    9.999878e-01	    1.221740e-05	    4.000000e-03
    9.999841e-01	    1.594440e-05	    4.500000e-03
    9.999798e-01	    2.016098e-05	    5.000000e-03
    9.999751e-01	    2.486437e-05	    5.500000e-03
    9.999699e-01	    3.005151e-05	    6.000000e-03
    9.999643e-01	    3.571902e-05	    6.500000e-03
    9.999581e-01	    4.186320e-05	    7.000000e-03
    9.999515e-01	    4.848004e-05	    7.500000e-03
    9.999444e-01	    5.556523e-05	    8.000000e-03
    9.999369e-01	    6.311413e-05	    8.500000e-03
    9.999289e-01	    7.112184e-05	    9.000000e-03
    9.999204e-01	    7.958311e-05	    9.500000e-03
    9.999115e-01	    8.849244e-05	    1.000000e-02
    9.999022e-01	    9.784400e-05	    1.050000e-02
    9.998924e-01	    1.076317e-04	    1.100000e-02
    9.998822e-01	    1.178492e-04	    1.150000e-02
    9.998715e-01	    1.284897e-04	    1.200000e-02
    9.998605e-01	    1.395464e-04	    1.250000e-02
    9.998490e-01	    1.510120e-04	    1.300000e-02
    9.998371e-01	    1.628791e-04	    1.350000e-02
    9.998249e-01	    1.751399e-04	    1.400000e-02
    9.998122e-01	    1.877864e-04	    1.450000e-02
    9.997992e-01	    2.008103e-04	    1.500000e-02
    9.997858e-01	    2.142032e-04	    1.550000e-02
    9.997720e-01	    2.279564e-04	    1.600000e-02
    9.997579e-01	    2.420608e-04	    1.650000e-02
    9.997435e-01	    2.565072e-04	    1.700000e-02
    9.997287e-01	    2.712863e-04	    1.750000e-02
    9.997136e-01	    2.863884e-04	    1.800000e-02
    9.996982e-01	    3.018036e-04	    1.850000e-02
    9.996825e-01	    3.175219e-04	    1.900000e-02
    9.996665e-01	    3.335330e-04	    1.950000e-02
    9.996502e-01	    3.498264e-04	    2.000000e-02
    9.996336e-01	    3.663917e-04	    2.050000e-02
    9.996168e-01	    3.832178e-04	    2.100000e-02
    9.995997e-01	    4.002940e-04	    2.150000e-02
    9.995824e-01	    4.176089e-04	    2.200000e-02
    9.995648e-01	    4.351514e-04	    2.250000e-02
    9.995471e-01	    4.529100e-04	    2.300000e-02
    9.995291e-01	    4.708731e-04	    2.350000e-02
    9.995110e-01	    4.890289e-04	    2.400000e-02
    9.994926e-01	    5.073657e-04	    2.450000e-02
    9.994741e-01	    5.258715e-04	    2.500000e-02
    9.994555e-01	    5.445342e-04	    2.550000e-02
    9.994367e-01	    5.633416e-04	    2.600000e-02
    9.994177e-01	    5.822815e-04	    2.650000e-02
    9.993987e-01	    6.013415e-04	    2.700000e-02
    9.993795e-01	    6.205091e-04	    2.750000e-02
    9.993602e-01	    6.397720e-04	    2.800000e-02
    9.993409e-01	    6.591174e-04	    2.850000e-02
    9.993215e-01	    6.785328e-04	    2.900000e-02
    9.993020e-01	    6.980056e-04	    2.950000e-02
    9.992825e-01	    7.175229e-04	    3.000000e-02
    9.992629e-01	    7.370722e-04	    3.050000e-02
    9.992434e-01	    7.566406e-04	    3.100000e-02
    9.992238e-01	    7.762154e-04	    3.150000e-02
    9.992042e-01	    7.957837e-04	    3.200000e-02
    9.991847e-01	    8.153329e-04	    3.250000e-02
    9.991651e-01	    8.348502e-04	    3.300000e-02
    9.991457e-01	    8.543229e-04	    3.350000e-02
    9.991263e-01	    8.737382e-04	    3.400000e-02
    9.991069e-01	    8.930835e-04	    3.450000e-02
    9.990877e-01	    9.123462e-04	    3.500000e-02
    9.990685e-01	    9.315137e-04	    3.550000e-02
    9.990494e-01	    9.505735e-04	    3.600000e-02
    9.990305e-01	    9.695131e-04	    3.650000e-02
    9.990117e-01	    9.883203e-04	    3.700000e-02
    9.989930e-01	    1.006983e-03	    3.750000e-02
    9.989745e-01	    1.025488e-03	    3.800000e-02
    9.989562e-01	    1.043825e-03	    3.850000e-02
    9.989380e-01	    1.061981e-03	    3.900000e-02
    9.989201e-01	    1.079943e-03	    3.950000e-02
    9.989023e-01	    1.097702e-03	    4.000000e-02
    9.988848e-01	    1.115244e-03	    4.050000e-02
    9.988674e-01	    1.132559e-03	    4.100000e-02
    9.988504e-01	    1.149635e-03	    4.150000e-02
    9.988335e-01	    1.166461e-03	    4.200000e-02
    9.988170e-01	    1.183026e-03	    4.250000e-02
    9.988007e-01	    1.199319e-03	    4.300000e-02
    9.987847e-01	    1.215330e-03	    4.350000e-02
    9.987690e-01	    1.231049e-03	    4.400000e-02
    9.987535e-01	    1.246464e-03	    4.450000e-02
    9.987384e-01	    1.261566e-03	    4.500000e-02
    9.987237e-01	    1.276345e-03	    4.550000e-02
    9.987092e-01	    1.290792e-03	    4.600000e-02
    9.986951e-01	    1.304896e-03	    4.650000e-02
    9.986814e-01	    1.318650e-03	    4.700000e-02
    9.986680e-01	    1.332043e-03	    4.750000e-02
    9.986549e-01	    1.345068e-03	    4.800000e-02
    9.986423e-01	    1.357715e-03	    4.850000e-02
    9.986300e-01	    1.369976e-03	    4.900000e-02
    9.986182e-01	    1.381844e-03	    4.950000e-02
    9.986067e-01	    1.393310e-03	    5.000000e-02
    9.985956e-01	    1.404368e-03	    5.050000e-02
    9.985850e-01	    1.415010e-03	    5.100000e-02
    9.985748e-01	    1.425228e-03	    5.150000e-02
